sku;name;url_key;rayon;rayonmagentoid;rayonweldomid;sousrayon;sousrayonmegentoid;sousrayonweldomid;famille;famillemagentoid;familleweldomid;sousfamille;sousfamillemagentoid;sousfamilleweldomid;image;thumbnail;rating_sum;rating_nb
0112001;Tube D'Alimentation Cuivre Recuit, Diam.8 X 10 Mm, En Couronne De 5 M;tube-d-alimentation-cuivre-recuit-diam-8-x-10-mm-en-couronne-de-5-m-0112001;Plomberie;2663;30;Alimentation en eau;2664;30301;Tube, Couronne cuivre;2782;3030115;Tube cuivre diamètre 10;2789;3030115005;https://www.weldom.fr/pub/media/catalog/product/0/1/0112001_D.jpg;/0/1/0112001_D.jpg;0.000000;0
0112003;Tube D'Alimentation Cuivre Recuit, Diam.12 X 14 Mm, En Couronne De 5 M;tube-d-alimentation-cuivre-recuit-diam-12-x-14-mm-en-couronne-de-5-m-0112003;Plomberie;2663;30;Alimentation en eau;2664;30301;Tube, Couronne cuivre;2782;3030115;Tube cuivre diamètre 14;2791;3030115015;https://www.weldom.fr/pub/media/catalog/product/0/1/0112003_D.jpg;/0/1/0112003_D.jpg;2.333300;3
0112012;Tube D'Alimentation Cuivre Recuit, Diam.12 X 14 Mm, En Couronne De 10 M;tube-d-alimentation-cuivre-recuit-diam-12-x-14-mm-en-couronne-de-10-m-0112012;Plomberie;2663;30;Alimentation en eau;2664;30301;Tube, Couronne cuivre;2782;3030115;Couronne cuivre diamètre 14;2785;3030115055;https://www.weldom.fr/pub/media/catalog/product/0/1/0112012_D.jpg;/0/1/0112012_D.jpg;1.750000;4
